0	1
0.00613	1
0.01226	1
0.01839	1
0.02452	1
0.03065	1
0.03678	1
0.04291	1
0.04904	1
0.05517	1
0.0613	1
0.06743	1
0.07356	1
0.07969	1
0.08582	1
0.09195	1
0.09808	1
0.10421	1
0.11034	1
0.11647	1
0.1226	1
0.12873	1
0.13486	1
0.14099	1
0.14712	1
0.15325	1
0.15938	1
0.16551	1
0.17164	1
0.17777	1
0.1839	1
0.19003	1
0.19616	1
0.20229	1
0.20842	1
0.21455	1
0.22068	1
0.22681	1
0.23294	1
0.23907	1
0.2452	1
0.25133	1
0.25746	1
0.26359	1
0.26972	1
0.27585	1
0.28198	1
0.28811	1
0.29424	1
0.30037	1
0.3065	1
0.31263	1
0.31876	1
0.32489	1
0.33102	1
0.33715	1
0.34328	1
0.34941	1
0.35554	1
0.36167	1
0.3678	1
0.37393	1
0.38006	1
0.38619	1
0.39232	1
0.39845	1
0.40458	1
0.41071	1
0.41684	1
0.42297	1
0.4291	1
0.43523	1
0.44136	1
0.44749	1
0.45362	1
0.45975	1
0.46588	1
0.47201	1
0.47814	1
0.48427	1
0.4904	1
0.49653	1
0.50266	1
0.50879	1
0.51492	1
0.52105	1
0.52718	1
0.53331	1
0.53944	1
0.54557	1
0.5517	1
0.55783	1
0.56396	1
0.57009	1
0.57622	1
0.58235	1
0.58848	1
0.59461	1
0.60074	1
0.60687	1
0.613	1
0.61913	1
0.62526	1
0.63139	1
0.63752	1
0.64365	1
0.64978	1
0.65591	1
0.66204	1
0.66817	1
0.6743	1
0.68043	1
0.68656	1
0.69269	1
0.69882	1
0.70495	1
0.71108	1
0.71721	1
0.72334	1
0.72947	1
0.7356	1
0.74173	1
0.74786	1
0.75399	1
0.76012	1
0.76625	1
0.77238	1
0.77851	1
0.78464	1
0.79077	1
0.7969	1
0.80303	1
0.80916	1
0.81529	1
0.82142	1
0.82755	1
0.83368	1
0.83981	1
0.84594	1
0.85207	1
0.8582	1
0.86433	1
0.87046	1
0.87659	1
0.88272	1
0.88885	1
0.89498	1
0.90111	1
0.90724	1
0.91337	1
0.9195	1
0.92563	1
0.93176	1
0.93789	1
0.94402	1
0.95015	1
0.95628	1
0.96241	1
0.96854	1
0.97467	1
0.9808	1
0.98693	1
0.99306	1
0.99919	1
1.00532	1
1.01145	1
1.01758	1
1.02371	1
1.02984	1
1.03597	1
1.0421	1
1.04823	1
1.05436	1
1.06049	1
1.06662	1
1.07275	1
1.07888	1
1.08501	1
1.09114	1
1.09727	1
1.1034	1
1.10953	1
1.11566	1
1.12179	1
1.12792	1
1.13405	1
1.14018	1
1.14631	1
1.15244	1
1.15857	1
1.1647	1
1.17083	1
1.17696	1
1.18309	1
1.18922	1
1.19535	1
1.20148	1
1.20761	1
1.21374	1
1.21987	1
1.226	1
1.23213	1
1.23826	1
1.24439	1
1.25052	1
1.25665	1
1.26278	1
1.26891	1
1.27504	1
1.28117	1
1.2873	1
1.29343	1
1.29956	1
1.30569	1
1.31182	1
1.31795	1
1.32408	1
1.33021	1
1.33634	1
1.34247	1
1.3486	1
1.35473	1
1.36086	1
1.36699	1
1.37312	1
1.37925	1
1.38538	1
1.39151	1
1.39764	1
1.40377	1
1.4099	1
1.41603	1
1.42216	1
1.42829	1
1.43442	1
1.44055	1
1.44668	1
1.45281	1
1.45894	1
1.46507	1
1.4712	1
1.47733	1
1.48346	1
1.48959	1
1.49572	1
1.50185	1
1.50798	1
1.51411	1
1.52024	1
1.52637	1
1.5325	1
1.53863	1
1.54476	1
1.55089	1
1.55702	1
1.56315	1
1.56928	1
1.57541	1
1.58154	1
1.58767	1
1.5938	1
1.59993	1
1.60606	1
1.61219	1
1.61832	1
1.62445	1
1.63058	1
1.63671	1
1.64284	1
1.64897	1
1.6551	1
1.66123	1
1.66736	1
1.67349	1
1.67962	1
1.68575	1
1.69188	1
1.69801	1
1.70414	1
1.71027	1
1.7164	1
1.72253	1
1.72866	1
1.73479	1
1.74092	1
1.74705	1
1.75318	1
1.75931	1
1.76544	1
1.77157	1
1.7777	1
1.78383	1
1.78996	1
1.79609	1
1.80222	1
1.80835	1
1.81448	1
1.82061	1
1.82674	1
1.83287	1
1.839	1
1.84513	1
1.85126	1
1.85739	1
1.86352	1
1.86965	1
1.87578	1
1.88191	1
1.88804	1
1.89417	1
1.9003	1
1.90643	1
1.91256	1
1.91869	1
1.92482	1
1.93095	1
1.93708	1
1.94321	1
1.94934	1
1.95547	1
1.9616	1
1.96773	1
1.97386	1
1.97999	1
1.98612	1
1.99225	1
1.99838	1
2.00451	1
2.01064	1
2.01677	1
2.0229	1
2.02903	1
2.03516	1
2.04129	1
2.04742	1
2.05355	1
2.05968	1
2.06581	1
2.07194	1
2.07807	1
2.0842	1
2.09033	1
2.09646	1
2.10259	1
2.10872	1
2.11485	1
2.12098	1
2.12711	1
2.13324	1
2.13937	1
2.1455	1
2.15163	1
2.15776	1
2.16389	1
2.17002	1
2.17615	1
2.18228	1
2.18841	1
2.19454	1
2.20067	1
2.2068	1
2.21293	1
2.21906	1
2.22519	1
2.23132	1
2.23745	1
2.24358	1
2.24971	1
2.25584	1
2.26197	1
2.2681	1
2.27423	1
2.28036	1
2.28649	1
2.29262	1
2.29875	1
2.30488	1
2.31101	1
2.31714	1
2.32327	1
2.3294	1
2.33553	1
2.34166	1
2.34779	1
2.35392	1
2.36005	1
2.36618	1
2.37231	1
2.37844	1
2.38457	1
2.3907	1
2.39683	1
2.40296	1
2.40909	1
2.41522	1
2.42135	1
2.42748	1
2.43361	1
2.43974	1
2.44587	1
2.452	1
2.45813	1
2.46426	1
2.47039	1
2.47652	1
2.48265	1
2.48878	1
2.49491	1
2.50104	1
2.50717	1
2.5133	1
2.51943	1
2.52556	1
2.53169	1
2.53782	1
2.54395	1
2.55008	1
2.55621	1
2.56234	1
2.56847	1
2.5746	1
2.58073	1
2.58686	1
2.59299	1
2.59912	1
2.60525	1
2.61138	1
2.61751	1
2.62364	1
2.62977	1
2.6359	1
2.64203	1
2.64816	1
2.65429	1
2.66042	1
2.66655	1
